"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENTREZID_mappings","Ecol_K-12MG1655_1G_CTRL_Rep1","Ecol_K-12MG1655_1G_CTRL_Rep2","Ecol_K-12MG1655_1G_CTRL_Rep3","Ecol_K-12MG1655_1G_CTRL_Rep4","Ecol_K-12MG1655_uG_Clinorotation_Rep1","Ecol_K-12MG1655_uG_Clinorotation_Rep2","Ecol_K-12MG1655_uG_Clinorotation_Rep3","Ecol_K-12MG1655_uG_Clinorotation_Rep4"
NA,NA,NA,NA,NA,NA,NA,"1759068_at",0,2.34113445822505,1.84721594806576,2.84700068657071,1.7080187963065,2.31096772963367,1.86932208737412,1.75139271684597,1.71994117134617
NA,"mrr","methylated adenine and cytosine restriction protein",NA,"948898",NA,"GO:0009307|GO:0051599|GO:0090305|GO:0043590|GO:0003676|GO:0003677|GO:0004518|GO:0004519|GO:0015666|GO:0032067","1759069_at",1,8.49098658177122,8.4285454302311,8.36336492136905,7.87933903360411,8.71009398276251,8.07821640553903,8.35617768940318,8.14968488183566
NA,NA,NA,NA,NA,NA,NA,"1759070_s_at",0,8.79443891049379,8.79810638845309,8.80623496967554,8.31303721706497,8.88907009176622,8.70588789827451,8.5960964343215,8.6764312453327
NA,"ECs3365|yfgF","cytochrome C-type biogenesis protein|cyclic-di-GMP phosphodiesterase, anaerobic",NA,"913938|946968",NA,"GO:0008152|GO:0070301|GO:0071454|GO:0005886|GO:0016020|GO:0016021|GO:0000166|GO:0016787|GO:0071111","1759071_s_at",2,9.1856162591886,9.18675670870255,9.03637465711154,8.97439794947431,9.0987623381636,8.99414905551348,9.11165430389506,9.0802363496908
NA,"ECs1611|ECs2987","replication protein|phage replication protein O",NA,"913278|916691",NA,"GO:0006260","1759072_s_at",2,2.26116318197128,2.4827716624667,2.44861676935537,1.98614865545034,2.40192491823486,2.45296497751906,2.37109195424092,2.34113445822505
NA,"stfP","e14 prophage; uncharacterized protein",NA,"945726",NA,NA,"1759073_at",1,8.41468237307931,8.44936431370982,8.34437213708776,8.48071260436571,8.48398830994384,8.59783478050229,8.34977595955311,8.55742630999143
NA,"yfbN","uncharacterized protein",NA,"946748",NA,NA,"1759074_at",1,8.58459189245196,8.62254408253883,8.37085470568949,8.60582654031806,8.63677275028185,8.40355715180022,8.49862025399916,8.51860376634554
NA,"ggt","gamma-glutamyltranspeptidase",NA,"947947",NA,"GO:0006508|GO:0006749|GO:0006750|GO:0042597|GO:0003840|GO:0008233|GO:0016740|GO:0016746|GO:0016787|GO:0036374","1759075_at",1,8.70339318299344,8.7145845041673,8.63179358872799,8.81542815703919,8.79825245240146,8.76052102752831,8.6492546100656,8.69928901864391
NA,NA,NA,NA,NA,NA,NA,"1759076_s_at",0,9.23280234100911,9.31448490150149,9.10792468117256,9.23839007298028,9.05099497816702,9.03577902647998,9.31526180581394,9.28845537230291
NA,"ECs1076","hypothetical protein",NA,"912746",NA,NA,"1759077_s_at",1,1.80741040526503,1.42072450559069,1.63334181896646,1.40393287337335,3.52721751175938,1.18728119351035,1.13249965732652,1.20409148294157
NA,NA,NA,NA,NA,NA,NA,"1759078_at",0,1.15842351809958,1.33313262457454,1.23363102305597,1.10259201303234,1.63340409295368,1.19359156020504,1.24362167627394,1.28189081319521
NA,NA,NA,NA,NA,NA,NA,"1759079_at",0,2.14237945881106,2.3742803843689,1.64402285616098,1.78913085334665,1.30304138703738,1.55079885716852,1.6516403497717,1.63739077921286
NA,"ECs5308","type I restriction-modification enzyme R subunit",NA,"913604",NA,"GO:0006304|GO:0090305|GO:0000166|GO:0003677|GO:0003824|GO:0004519|GO:0005524|GO:0016787","1759080_s_at",1,2.09561505653117,2.16717029648604,2.21519811673874,2.31450351387515,2.38466443879673,2.11954208449697,2.43183113938786,2.21519811673874
